"Object","ParentObject","SQLTemplate","KeyFieldList","DisplayInterface","CUIDFieldName","CUIDCodeFieldName","QuickFindSQL","QuickFindPrompt","QuickFindIDbased"
"incident","","select top 1 *  from incidentdetail {where}","incidentid","frmincidentdetails","","","","","0"
"Income","","select top 1 * from income {where}","incomeid","frmincomedetails","","","","","0"
"inctimeline","","select top 1 * from incidenttimeline {where}","timelineid","frmincidenttimesheet","","","","","0"
"inctimesheet","","select top 1 * from timesheet {where}","timesheetid","frmIncidentTimesheet","","","","","0"
"insurancetype","","select top 1 * from staffinstype {where}","insTypeID","frminsurancetype","","","","","0"
"internalprocess","","select top 1 * from InternalProcessdetails {where}","InternalProcessID","frmInternalProcessdetails","","","","","0"
"invbin","","select top 1 bin from warehouseinv","bin","","","","Select {top} Bin as BinID, case ltrim(rtrim(Bin)) when '' then '[DEFAULT]' else Bin end as Bin from WarehouseInv Where (Bin like '%{replace}%') {where}","","0"
"inventoryitem","","select top 1 * from warehouseinv {where}","stockid,branchid,warehouseid","frmdetailsinventory","","","Select {top} Stock.StockId, Stock.StockID as [Stock Code], [Description], WI.WarehouseID as [Warehouse], CC.CostCentre as [Cost Centre], Stock.[BranchID] as [Branch Code] from Stock  Left Join CostCentre CC on CC.CostCentreID = Stock.CostCentreID AND CC.BranchID = Stock.BranchID Left Join WarehouseInv WI on WI.StockID = Stock.StockID AND WI.BranchID = Stock.BranchID Where ((Stock.StockID Like '%{replace}%') OR (CC.CostCentre Like '%{replace}%') OR (Stock.[Description] Like '%{replace}%')) {where}","Type in part of the Stock Code, Description or Cost Centre to find a Stock Code","0"
"inventoryitem-dep","","select top 1 * from warehouseinv {where}","stockid,branchid,warehouseid","","","","Select {top} Stock.StockId, Stock.StockID as [Stock Code], [Description], WI.WarehouseID as [Warehouse], CC.CostCentre as [Cost Centre], Stock.[BranchID] as [Branch Code] from Stock  Left Join CostCentre CC on CC.CostCentreID = Stock.CostCentreID AND CC.BranchID = Stock.BranchID Left Join WarehouseInv WI on WI.StockID = Stock.StockID AND WI.BranchID = Stock.BranchID Where ((Stock.StockID Like '%{replace}%') OR (CC.CostCentre Like '%{replace}%') OR (Stock.[Description] Like '%{replace}%')) AND (Stock.ItemCatID='dep') {where}","Type in part of the Stock Code, Description or Cost Centre to find a Stock Code","0"
"inventoryitem-pri","","select top 1 * from warehouseinv {where}","stockid,branchid,warehouseid","","","","Select {top} Stock.StockID, Stock.StockID as [Stock Code], [Description], WI.WarehouseID as [Group Code], CC.CostCentre as [Cost Centre], Stock.[BranchID] as [Branch Code] from Stock  Left Join CostCentre CC on CC.CostCentreID = Stock.CostCentreID AND CC.BranchID = Stock.BranchID Left Join (Select Distinct WarehouseID, StockID, BranchID From WarehouseInv) WI on WI.StockID = Stock.StockID AND WI.BranchID = Stock.BranchID Where ((Stock.StockID Like '%{replace}%') OR (CC.CostCentre Like '%{replace}%') OR (Stock.[Description] Like '%{replace}%')) AND (Stock.ItemCatID='pri') {where}","Type in part of the Stock Code, Description or Cost Centre to find a Stock Code","0"
"invoice","","select top 1 * from Debtor_Invoice {where}","invoiceid","frmdebtordetails","","","","","0"
"issuedetails","","select top 1 * from issuedetails {where}","IssueDetailID","frmissuedetails","","","","","0"
"issuedetailsitem","","select top 1 * from issuedetailsitems {where}","IssueDetailItemID","frmissuedetailsitems","","","","","0"
"IssueTemplates","","Select top 1 * from IssueMaterialTemplates {where}","TemplateID","frmIssueTemplates","","","","","0"
"JobBagdetails","","select top 1 * from JobBags {where}","jobbagid","frmjobBagDetails","","","","","0"
"Jobbagnotes","","select top 1 * from jobbagnotes {where}","NoteID","frmJobBagNotes","","","","","0"
"JobDetails","","select top 1 * from projects {where}","projectID","frmJobDetails","","","","","0"
"JobDetails2","","select top 1 * from projects {where}","projectID","frmJobDetails","","","","","0"
"jobmanufprocess","","select top 1 * from job_manufacture_process {where}","stockmanuftypeid","frmjobmanufactureprocess","","","","","0"
"jobmanufqc","","select top 1 * from job_manufacture_qc {where}","manufqcid","frmjobmanufactureqc","","","","","0"
"jobmanufresults","","select top 1 * from job_manufacture_results {where}","resultid","frmjobmanufactureresults","","","","","0"
"jobstock","","select top 1 * from job_stock {where}","lineID","frmJobStockItem","","","","","0"
"lateentry","","select top 1 * from lateentry {where}","lateentryid","frmLateEntry","","","","","0"
"lead","","select top 1 * from Lead {where}","leadid","frmleaddetails","","","","","0"
"LeadAddress","","select top 1 * from LeadAddress {where}","LeadAddrID","frmLeadAddr","","","","","0"
"LeadContacts","","select top 1 * from LeadContacts {where}","LeadContactID","frmLeadContactDetails","","","","","0"
"leadnote","","select top 1 * from leadnotes {where}","leadnoteid","frmleadnotes","","","","","0"
"learnerdetails","","select top 1 * from learners {where}","learnerid","frmPFLearnerDetails","","","","","0"
"learnerhistory","","select top 1 * from learnerhistory {where}","trainhistoryid","frmlearnerhistory","","","","","0"
"LearnProgDetails","","select top 1 * from PFLearnProgram {where}","PFLearnProgramID","frmPFLearnerProgDetails","","","","","0"
"leaveprofile","","select top 1 * from LeaveProfileDetails {where}","leavedefaultid","frmleaveproviledetails","","","","","0"
"LeaveRequest","","select top 1 * from leave {where}","LeaveID","frmLeaveRequest","","","","","0"
"LicenceFeeDetails","","select top 1 * from licenceman {where}","licencemanid","frmLicenseFeesDetails","","","","","0"
"licenceman","","select top 1 * from licenceman {where}","licencemanid","frmlicenceman","","","","","0"
"licencemandetails","","select top 1 * from licenceman {where}","licencemanid","frmlicencemandetails","","","","","0"
"LicenseInvoice","","SELECT TOP 1 * FROM LicenseInvoice {where}","DocID","frmImportInvoice","","","","","0"
"LicenseRegister","","select top 1 * from LicenseRegistry {where}","LicenseRegistryID","frmLicenseRegisterDetails","","","","","0"
"lProgram","","select top 1 * from learnerprog {where}","learnerprogid","frmLProgramDetails","","","","","0"
"Machine","","select top 1 * from MachineDetails {where}","MachineConfigID","frmMachinedetails","","","","","0"
"Machineadress","","Select top 1 * from MachineAddress {where}","MachineAddressID","frmmachineaddress","","","","","0"
"machinenote","","select top 1 * from machinenotes {where}","MachineNoteID","frmMachineNotes","","","","","0"
"MapCust","","select top 1 * from MapCust {where}","MapCustID","frmCustDetails","","","","","0"
"message","","select top 1 * from Message {where}","messageid","frmMailerMessageDetails","","","","","0"
"moduledate","","select top 1 * from Moduledates {where}","ModuleDateID","frmModuleDate","","","","","0"
"ModuleNotes","","select top 1 * from Notes {where}","noteid","frmModuleNoteDetails","","","","","0"
"modules","","select top 1 * from modules {where}","moduleid","frmmoduledetails","","","","","0"
"notes","","select top 1 * from notes {where} ","noteid","frmnotedetails","","","","","0"
"noticeboard","","select top 1 * from noticeboard {where}","noticeid","frmaddnotice","","","","","0"
"Object","ParentObject","SQLTemplate","KeyFieldList","DisplayInterface","CUIDFieldName","CUIDCodeFieldName","QuickFindSQL","QuickFindPrompt","0"
"orderdetails","","select top 1 * from orderform {where}","orderid","frmorderdetails","","","","","0"
"outcomedetails","","select top 1*  from OutCome {where}","outcomeid","frmPFOutcomeDetails","","","","","0"
"outcomeQualDetails","","select top 1 * from pfqualificationsoutcome {where}","outcomeid","frmpfoutcomequal","","","","","0"
"OvertimeLeave","","select top 1 * from OvertimeLeave {where}","OvertimeID","frmOvertimeLeave","","","","","0"
"overTimeSetup","","select top 1 * from OvertimeSetup {where}","OvertimeSetupID","frmOvertimesetup","","","","","0"
"payroll","","select top 1 * from payroll {where}","payid","frmpayrolldetails","","","","","0"
"performancedetails","","select top 1 * from assessment {where}","assessmentid","frmPerformanceDetails","","","","","0"
"performanceobj","","select top 1 * from assessmentobjectives {where}","objectiveid","frmPerformanceObjectives","","","","","0"
"performancetargets","","select top 1 * from assessmenttargets {where}","objectiveid","frmperformancetargets","","","","","0"
"pfassignment","","select top 1 * from PFAssignment {where}","pfassignmentid","frmPFAssignment","","","","","0"
"pfcoursematerial","","select top 1 * from pfcoursematerial {where}","coursematerialid","frmpfmaterialscourse","","","","","0"
"pflearnermaterial","","select top 1 * from pflearnermaterial {where}","learnermaterialid","frmpfmaterialslearner","","","","","0"
"PFTask","","select top 1 * from Actions {where}","ActionID","frmPFLearnProgTask","","","","","0"
"pipeline","","select top 1 * from salespipeline {where}","pipelineid","frmsalespipelinedetail","","","","","0"
"pipelinenote","","select top 1 * from Notes {where}","NoteID","frmSalesPipelineNotes","","","","","0"
"POS","","select top 1 * from debtor_master {where}","docid","frmaccdebtorPOS","","","","","0"
"projectasset","","select top 1 * from projectasset {where}","projectassetid","frmprojectasset","","","","","0"
"projectattendee","","select top 1 * from projectattendee {where}","attendeeid","frmprojectattendee","","","","","0"
"projectdates","","select top 1 * from projectdates {where}","projdateid","frmprojectdates","","","","","0"
"projectgl","","select top 1 * from Ledger_adjust_detail {where}","lineid","frmAccProjectGLDetails","","","","","0"
"projectnew","","select top 1 * from projects {where}","projectid","frmprojectdetailsnew","","","","","0"
"projects","","select top 1 * from projects {where}","projectid","frmprojectdetails","","","","","0"
