"OutputID","CalcUsing","DocID","StockID","Qty","SellingQty","ActualQty","Ratio","ContainerID","IsPrimaryOutput","Step","Status","ByProductOfID","ToolID","StockIDTrail","QtyPer"
"17291","Qty","16469","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17292","Qty","16470","3197","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17293","Qty","16473","3742","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17294","Qty","16475","3197","150.0","150.0","150.0","1.0","4","1","","","","","",""
"17295","Qty","16476","3588","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17296","Qty","16482","3197","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17297","Qty","16508","3197","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17298","Qty","16510","3197","400.0","400.0","400.0","1.0","4","1","","","","","",""
"17299","Qty","16520","3197","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17300","Qty","16521","3197","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17301","Qty","16522","3197","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17302","Qty","16523","3197","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17303","Qty","16524","3561","400.0","400.0","400.0","1.0","4","1","","","","","",""
"17304","Qty","16566","3604","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17305","Qty","16567","3157","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17306","Qty","16568","3421","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17307","Qty","16569","3006","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17308","Qty","16570","3197","938.0","938.0","938.0","1.0","4","1","","","","","",""
"17309","Qty","16571","3561","300.0","300.0","300.0","1.0","4","1","","","","","",""
"17310","Qty","16572","3197","140.0","140.0","140.0","1.0","4","1","","","","","",""
"17311","Qty","16573","3561","260.0","260.0","260.0","1.0","4","1","","","","","",""
"17312","Qty","16577","3561","1000.0","1000.0","1000.0","1.0","4","1","","","","","",""
"17313","Qty","16578","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17314","Qty","16579","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17315","Qty","16580","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17316","Qty","16581","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17317","Qty","16582","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17318","Qty","16583","3197","190.0","190.0","190.0","1.0","4","1","","","","","",""
"17319","Qty","16584","3197","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17320","Qty","16585","3561","165.0","165.0","165.0","1.0","4","1","","","","","",""
"17321","Qty","16586","3197","600.0","600.0","600.0","1.0","4","1","","","","","",""
"17322","Qty","16587","3179","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17323","Qty","16588","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17324","Qty","16590","3521","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17325","Qty","16591","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17326","Qty","16592","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17327","Qty","16595","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17328","Qty","16596","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17329","Qty","16597","3197","1200.0","1200.0","1200.0","1.0","4","1","","","","","",""
"17330","Qty","16598","3197","150.0","150.0","150.0","1.0","4","1","","","","","",""
"17331","Qty","16599","3197","150.0","150.0","150.0","1.0","4","1","","","","","",""
"17332","Qty","16600","3197","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17333","Qty","16601","3197","60.0","60.0","60.0","1.0","4","1","","","","","",""
"17334","Qty","16602","3197","250.0","250.0","250.0","1.0","4","1","","","","","",""
"17335","Qty","16603","3099","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17336","Qty","16604","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17337","Qty","16605","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17338","Qty","16606","3067","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17339","Qty","16607","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17340","Qty","16608","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17341","Qty","16609","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
